01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
typegraphql | TypeGraphQL | Developer Portals / API Management | free | free tier | low lock-in
typeorm | TypeORM | DBaaS / Serverless Databases | free | free tier | low lock-in
typer | Typer | Backend-as-a-Service | free | free tier | low lock-in
typesafe-i18n | typesafe-i18n | Localization / Translation API | free | free tier | low lock-in
typesense | Typesense | Search / Recommendations API | unknown, $7/mo (cloud) | free tier | low lock-in
typetalk | Typetalk | Messaging API (Email / SMS / Voice) | freemium | free tier | medium lock-in
typingmind | TypingMind | AI API / SDK for Developers | subscription | free tier | low lock-in
typo | Typo | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
typst | Typst | Developer Portals / API Management | freemium | free tier | low lock-in
uala | Ualá | Payment Gateway / PSP | usage | no free tier | medium lock-in
ubicloud | Ubicloud | Backend-as-a-Service | usage | free tier | low lock-in
ubiq-security | Ubiq Security | Secrets Management | freemium | free tier | medium lock-in
ucloud | UCloud | Backend-as-a-Service | usage | no free tier | medium lock-in
udio | Udio | AI API / SDK for Developers | freemium | free tier | low lock-in
uffizzi | Uffizzi | CI/CD for Applications | freemium | free tier | low lock-in
ui-bakery | UI Bakery | No-code / Low-code App Builders | freemium | free tier | medium lock-in
uipath | UiPath | Data Integration / ETL / Reverse ETL | freemium | free tier | high lock-in
uizard | Uizard | AI API / SDK for Developers | freemium | free tier | medium lock-in
ujet | UJET | Release / App Store Operations | subscription, $10 /User | no free tier | medium lock-in
ulid | ULID | Developer Portals / API Management | free | free tier | low lock-in
ultracite | Ultracite | Code Assistants / Agent Tooling | free | free tier | low lock-in
ultralight | Ultralight | No-code / Low-code App Builders | freemium | free tier | medium lock-in
ultralytics | Ultralytics | Developer Portals / API Management | freemium | free tier | low lock-in
umami | Umami | Product Analytics | freemium | free tier | low lock-in
umbraco | Umbraco | No-code / Low-code App Builders | freemium | free tier | low lock-in
umeng | Umeng+ | Product Analytics | freemium | free tier | medium lock-in
unbound-security | Unbound Security | Secrets Management | custom | no free tier | high lock-in
unbuild | unbuild | CDN / Edge / Acceleration | free | free tier | low lock-in
undb | Undb | No-code / Low-code App Builders | free | free tier | low lock-in
understand | Understand | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
undici | undici | Backend-as-a-Service | free | free tier | low lock-in
undraw | unDraw | Design Tools / Design-to-Code | free | free tier | low lock-in
unibee | UniBee | Subscription Billing | subscription, $99 | free tier | low lock-in
unicommerce | Unicommerce | Backend-as-a-Service | custom | no free tier | medium lock-in
unified-to | Unified.to | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
unify-ai | Unify AI | AI API / SDK for Developers | usage | free tier | low lock-in
unify-gtm | Unify GTM | CRM / Lifecycle Automation | custom | no free tier | medium lock-in
unigetui | UniGetUI | CI/CD for Applications | free | free tier | low lock-in
unikraft | Unikraft | Backend-as-a-Service | free | free tier | low lock-in
union-ai | Union AI | AI API / SDK for Developers | custom | free tier | low lock-in
unit | Unit | Payment Gateway / PSP | custom | no free tier | high lock-in
unit21 | Unit21 | Fraud & Risk Management | custom | no free tier | medium lock-in
unitary-ai | Unitary | Content Moderation API | custom | no free tier | medium lock-in
unity-ads | Unity Ads | Code Assistants / Agent Tooling | unknown, Rev share on byto | free tier | high lock-in
unkey | Unkey | Identity / Auth / User Management | freemium, $0 | free tier | low lock-in
unleash | Unleash | Observability / Logging / Tracing | subscription, $75/seat/month | free tier | low lock-in
uno-platform | Uno Platform | No-code / Low-code App Builders | freemium | free tier | low lock-in
unocss | UnoCSS | Code Assistants / Agent Tooling | free | free tier | low lock-in
unpkg | Unpkg | CDN / Edge / Acceleration | free | free tier | low lock-in
unreal-engine | Unreal Engine | Game Development Tools | usage | free tier | medium lock-in
unsloth | Unsloth | AI API / SDK for Developers | free | free tier | low lock-in
unstract | Unstract | AI API / SDK for Developers | free | free tier | low lock-in
unstructured | Unstructured | AI API / SDK for Developers | freemium | free tier | low lock-in
unwrap-ai | Unwrap.ai | Product Analytics | subscription, $24 | no free tier | medium lock-in
upbound | Upbound | Backend-as-a-Service | freemium | free tier | low lock-in
upcloud | UpCloud | CDN / Edge / Acceleration | usage | no free tier | medium lock-in
upflow | Upflow | Invoicing / Taxes / Sales Tax | custom | no free tier | medium lock-in
upguard | UpGuard | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
uploadcare | Uploadcare | Object Storage / Media API | subscription, $25 / month | free tier | medium lock-in
uploadthing | UploadThing | Object Storage / Media API | freemium | free tier | medium lock-in
upptic | Upptic | App Growth Tooling (ASO) | custom | no free tier | low lock-in
upscayl | Upscayl | Object Storage / Media API | free | free tier | low lock-in
upsource | Upsource | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
upstage-ai | Upstage AI | AI API / SDK for Developers | usage | free tier | low lock-in
upstage-solar-llm | Upstage Solar LLM | AI API / SDK for Developers | usage | free tier | low lock-in
upstash | Upstash | DBaaS / Serverless Databases | subscription, $200/month | free tier | low lock-in
upstash-kafka | Upstash Kafka | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
uptime-com | Uptime.com | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
uptime-kuma | Uptime Kuma | Observability / Logging / Tracing | free | free tier | low lock-in
uptimerobot | UptimeRobot | Observability / Logging / Tracing | freemium | free tier | medium lock-in
uptrace | Uptrace | Performance Monitoring / APM | freemium, $1 | free tier | low lock-in
uptrends | Uptrends | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
upwork | Upwork | Customer Support SDK / In-app Helpdesk | usage | free tier | medium lock-in
upyun | UPYun | CDN / Edge / Acceleration | usage | no free tier | medium lock-in
usablenet | UsableNet | Accessibility / A11y Testing | custom | no free tier | low lock-in
usage-ai | Usage AI | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
uscreen | Uscreen | Object Storage / Media API | subscription | no free tier | medium lock-in
useplunk | usePlunk | Messaging API (Email / SMS / Voice) | freemium | free tier | low lock-in
userback | Userback | Messaging API (Email / SMS / Voice) | subscription | no free tier | medium lock-in
userbrain | Userbrain | Session Replay / UX Analytics | subscription | no free tier | low lock-in
usercentrics | Usercentrics | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
userflow | Userflow | Push / In-app Messaging SDK | subscription | no free tier | medium lock-in
userfront | Userfront | Identity / Auth / User Management | seat | no free tier | medium lock-in
userguiding | UserGuiding | Push / In-app Messaging SDK | subscription | no free tier | medium lock-in
usermaven | Usermaven | CRM / Lifecycle Automation | freemium | free tier | medium lock-in
userpilot | Userpilot | Product Analytics | subscription, $299 | no free tier | medium lock-in
usersnap | Usersnap | Session Replay / UX Analytics | subscription | no free tier | medium lock-in
usertesting | UserTesting | Product Analytics | custom | no free tier | medium lock-in
userway | UserWay | Compliance Automation | freemium | free tier | low lock-in
userx-analytics | UserX | Session Replay / UX Analytics | freemium | free tier | medium lock-in
utopia-ai | Utopia AI | Content Moderation API | custom | no free tier | medium lock-in
uuid | uuid | Developer Portals / API Management | free | free tier | low lock-in
uv | uv | CDN / Edge / Acceleration | free | free tier | low lock-in
uvicorn | Uvicorn | Backend-as-a-Service | free | free tier | low lock-in
uvloop | uvloop | Backend-as-a-Service | free | free tier | low lock-in
uwsgi | uWSGI | Backend-as-a-Service | free | free tier | low lock-in
uxcam | UXCam | Session Replay / UX Analytics | subscription | free tier | medium lock-in
uxpin | UXPin | No-code / Low-code App Builders | freemium | free tier | medium lock-in
v0 | V0 | AI API / SDK for Developers | subscription, $0 | free tier | medium lock-in
v7-labs | V7 Labs | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
vaex | Vaex | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
vagrant | Vagrant | CDN / Edge / Acceleration | free | free tier | low lock-in
val-town | Val Town | Backend-as-a-Service | freemium | free tier | medium lock-in
vald | Vald | AI API / SDK for Developers | free | free tier | low lock-in
valence-security | Valence Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
valentina-studio | Valentina Studio | DBaaS / Serverless Databases | freemium | free tier | low lock-in
valibot | Valibot | Backend-as-a-Service | free | free tier | low lock-in
validio | Validio | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
valkey | Valkey | DBaaS / Serverless Databases | free | free tier | low lock-in
valohai | Valohai | AI API / SDK for Developers | subscription | no free tier | medium lock-in
valtio | Valtio | Backend-as-a-Service | free | free tier | low lock-in
vanilla-forums | Vanilla Forums | Customer Support SDK / In-app Helpdesk | subscription | no free tier | medium lock-in
vanta | Vanta | Security Scanning / Mobile App Sec | subscription, $10,000/year (Core) | no free tier | medium lock-in
vantage | Vantage | Observability / Logging / Tracing | freemium | free tier | low lock-in
vantiq | Vantiq | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
vapi-ai | Vapi AI | AI API / SDK for Developers | usage | free tier | medium lock-in
varnish-software | Varnish Software | CDN / Edge / Acceleration | subscription | free tier | low lock-in
varonis | Varonis | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
vast-ai | Vast.ai | AI API / SDK for Developers | usage | no free tier | low lock-in
vatrix | VATRIX | Search / Recommendations API | subscription | no free tier | medium lock-in
vatstack | Vatstack | Invoicing / Taxes / Sales Tax | freemium | free tier | low lock-in
vaul | Vaul | No-code / Low-code App Builders | free | free tier | low lock-in
vault | Vault | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
vault-hashicorp | Vault (HashiCorp) | Secrets Management | freemium | free tier | low lock-in
vcluster | vCluster | CDN / Edge / Acceleration | freemium | free tier | low lock-in
vcrpy | VCR.py | Test Automation / Device Cloud | free | free tier | low lock-in
vectara | Vectara | AI API / SDK for Developers | freemium | free tier | medium lock-in
vector | Vector | Observability / Logging / Tracing | free | free tier | low lock-in
vectordb-js | VectorDB.js | DBaaS / Serverless Databases | free | free tier | low lock-in
veeam | Veeam | Object Storage / Media API | subscription | free tier | medium lock-in
vegeta | Vegeta | Test Automation / Device Cloud | free | free tier | low lock-in
velero | Velero | Object Storage / Media API | free | free tier | low lock-in
vellum | Vellum | AI API / SDK for Developers | subscription | no free tier | medium lock-in
velopack | Velopack | CI/CD for Applications | freemium | free tier | low lock-in
velt | Velt | Real-time / WebSocket Infrastructure | subscription, $49 | free tier | medium lock-in
venafi | Venafi | Secrets Management | custom | no free tier | high lock-in
vendure | Vendure | Payment Gateway / PSP | freemium | free tier | low lock-in
venly | Venly | Backend-as-a-Service | freemium | free tier | medium lock-in
venminder | Venminder | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
veracode | Veracode | Content Moderation API | seat, $9 | free tier | medium lock-in
verbit | Verbit | AI API / SDK for Developers | usage | no free tier | medium lock-in
vercel | Vercel | CDN / Edge / Acceleration | freemium, $20/mo/member (Pro) | free tier | medium lock-in
vercel-ai-sdk | Vercel AI SDK | AI API / SDK for Developers | free | free tier | low lock-in
vercel-flags-sdk | Flags SDK | Feature Flags / Remote Config | free | free tier | low lock-in
vercel-v0 | Vercel v0 | AI API / SDK for Developers | freemium | free tier | low lock-in
verda-cloud | Verda | Backend-as-a-Service | freemium | free tier | low lock-in
verdaccio | Verdaccio | CI/CD for Applications | free | free tier | low lock-in
veriff | Veriff | KYC / KYB / AML API | subscription, $49/ month | free tier | medium lock-in
verifi | Verifi | Fraud & Risk Management | custom | no free tier | high lock-in
vero | Vero | CRM / Lifecycle Automation | subscription | no free tier | medium lock-in
versapay | Versapay | Invoicing / Taxes / Sales Tax | custom | no free tier | high lock-in
vert-x | Vert.x | Code Assistants / Agent Tooling | free | free tier | low lock-in
vertex | Vertex | Invoicing / Taxes / Sales Tax | subscription | no free tier | high lock-in
verve-group | Verve Group | Ad Monetization / Mediation | custom | no free tier | medium lock-in
very-good-security | Very Good Security | Payments Orchestration | custom | no free tier | high lock-in
vespa | Vespa | Search / Recommendations API | subscription | no free tier | low lock-in
vespia | Vespia | KYC / KYB / AML API | usage | no free tier | low lock-in
vessel | Vessel | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
vibecom | VibeCom | Product Analytics | subscription | no free tier | medium lock-in
vibes | Vibes | Push / In-app Messaging SDK | custom | no free tier | high lock-in
victoriametrics | VictoriaMetrics | Performance Monitoring / APM | freemium | free tier | low lock-in
victory | Victory | Product Analytics | free | free tier | low lock-in
videoamp | VideoAmp | Mobile Attribution / MMP | custom | no free tier | high lock-in
videosdk-live | VideoSDK | Real-time / WebSocket Infrastructure | freemium | free tier | medium lock-in
vidmob | VidMob | App Growth Tooling (ASO) | custom | no free tier | high lock-in
vimeo-enterprise | Vimeo Enterprise | Object Storage / Media API | custom | no free tier | medium lock-in
vine | Vine | Backend-as-a-Service | unknown | no free tier | low lock-in
virtuoso-qa | Virtuoso QA | Test Automation / Device Cloud | custom | no free tier | high lock-in
visenze | ViSenze | AI API / SDK for Developers | freemium | free tier | medium lock-in
visily | Visily | Design Tools / Design-to-Code | freemium | free tier | medium lock-in
visly | Visly | No-code / Low-code App Builders | freemium | free tier | medium lock-in
viso-suite | Viso Suite | AI API / SDK for Developers | subscription | free tier | high lock-in
visual-studio-live-share | Visual Studio Live Share | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
visx | Visx | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
vite | Vite | CI/CD for Applications | free | free tier | low lock-in
vitepress | VitePress | Developer Portals / API Management | free | free tier | low lock-in
vitess | Vitess | DBaaS / Serverless Databases | free | free tier | low lock-in
vitest | Vitest | Test Automation / Device Cloud | free | free tier | low lock-in
vllm | vLLM | AI API / SDK for Developers | free | free tier | low lock-in
vnpay | VNPay | Payment Gateway / PSP | usage | no free tier | medium lock-in
vocode | Vocode | AI API / SDK for Developers | freemium | free tier | low lock-in
voiceflow | Voiceflow | AI API / SDK for Developers | freemium | free tier | medium lock-in
voicerun | VoiceRun | AI API / SDK for Developers | freemium | free tier | medium lock-in
void-editor | Void | Code Assistants / Agent Tooling | free | free tier | low lock-in
volcano | Volcano | CDN / Edge / Acceleration | free | free tier | low lock-in
volcano-engine | Volcano Engine | Backend-as-a-Service | usage | free tier | medium lock-in
volt-io | Volt | Payment Gateway / PSP | usage | no free tier | medium lock-in
volta | Volta | CDN / Edge / Acceleration | free | free tier | low lock-in
voluptuous | Voluptuous | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
voluum | Voluum | Mobile Attribution / MMP | subscription, $1074 | free tier | medium lock-in
vonage | Vonage | Messaging API (Email / SMS / Voice) | usage, $0.008/min voice, $0.008/SMS | no free tier | medium lock-in
vonage-video | Vonage Video | Real-time / WebSocket Infrastructure | usage | free tier | medium lock-in
vouched | Vouched | KYC / KYB / AML API | usage | no free tier | medium lock-in
voxel51 | Voxel51 | AI API / SDK for Developers | freemium | free tier | low lock-in
voyage-ai | Voyage AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
vuepress | VuePress | Developer Documentation / DevRel | free | free tier | low lock-in
vulcan-cyber | Vulcan Cyber | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
vultr | Vultr | CDN / Edge / Acceleration | subscription, $10/mo | free tier | low lock-in
vungle-liftoff | Vungle/Liftoff | Code Assistants / Agent Tooling | subscription | no free tier | high lock-in
vwo | VWO | Product Analytics | subscription | free tier | medium lock-in
wagtail | Wagtail | No-code / Low-code App Builders | free | free tier | low lock-in
wails | Wails | No-code / Low-code App Builders | free | free tier | low lock-in
waitress | Waitress | Backend-as-a-Service | free | free tier | low lock-in
walkme | WalkMe | Push / In-app Messaging SDK | custom | no free tier | high lock-in
wallaby-js | Wallaby.js | Code Assistants / Agent Tooling | subscription | no free tier | low lock-in
wallarm | Wallarm | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
wallaroo-ai | Wallaroo.AI | AI API / SDK for Developers | subscription | free tier | medium lock-in
wallester | Wallester | Payment Gateway / PSP | custom | no free tier | high lock-in
wand | Wand | Object Storage / Media API | free | free tier | low lock-in
wangsu | Wangsu | CDN / Edge / Acceleration | usage | no free tier | medium lock-in
wappalyzer | Wappalyzer | Performance Monitoring / APM | freemium | free tier | low lock-in
ward | Ward | Test Automation / Device Cloud | free | free tier | low lock-in
warp | Warp | Code Assistants / Agent Tooling | subscription, $0/mo | free tier | low lock-in
warp-cloudflare | Warp (Cloudflare) | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
warp-terminal | Warp Terminal | CDN / Edge / Acceleration | freemium | free tier | low lock-in
warpbuild | WarpBuild | CI/CD for Applications | freemium | free tier | low lock-in
warrant | Warrant | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
wasabi | Wasabi | Object Storage / Media API | subscription, $6.99 | free tier | low lock-in
wasm-workers-server | Wasm Workers Server | Backend-as-a-Service | free | free tier | low lock-in
wasmcloud | wasmCloud | CDN / Edge / Acceleration | free | free tier | low lock-in
wasmedge | WasmEdge | Backend-as-a-Service | free | free tier | low lock-in
wasmer | Wasmer | CDN / Edge / Acceleration | freemium | free tier | low lock-in
wasmtime | WasmTime | CDN / Edge / Acceleration | free | free tier | low lock-in
wasmtime-cloud | Wasmtime cloud | Backend-as-a-Service | freemium | free tier | low lock-in
wasp | Wasp | Backend-as-a-Service | free | free tier | low lock-in
watchexec | Watchexec | CDN / Edge / Acceleration | free | free tier | low lock-in
waterline | Waterline | DBaaS / Serverless Databases | free | free tier | low lock-in
wati | Wati | Messaging API (Email / SMS / Voice) | subscription | no free tier | medium lock-in
wave | Wave | CRM / Lifecycle Automation | freemium | free tier | medium lock-in
wavespeedai | WaveSpeedAI | Content Moderation API | usage | free tier | medium lock-in
waydev | Waydev | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
waypoint | Waypoint | CRM / Lifecycle Automation | free | free tier | low lock-in
weasyprint-cloud | WeasyPrint cloud | Object Storage / Media API | freemium | free tier | low lock-in
weave-net | Weave Net | CDN / Edge / Acceleration | free | free tier | low lock-in
weaveworks | Weaveworks | CI/CD for Applications | subscription | no free tier | medium lock-in
weaviate | Weaviate | Search / Recommendations API | freemium, $45 / month | free tier | low lock-in
weavy | Weavy | Real-time / WebSocket Infrastructure | subscription, $49/month | free tier | medium lock-in
web3auth | Web3Auth | Identity / Auth / User Management | freemium | free tier | medium lock-in
webaim | WebAIM | Accessibility / A11y Testing | free | free tier | low lock-in
webdriverio | WebdriverIO | Test Automation / Device Cloud | free | free tier | low lock-in
webengage | WebEngage | Customer Support SDK / In-app Helpdesk | subscription | no free tier | medium lock-in
webflow | Webflow | No-code / Low-code App Builders | freemium | free tier | high lock-in
webhook-relay | Webhook Relay | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
webhook-site | Webhook.site | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
webiny | Webiny | No-code / Low-code App Builders | freemium | free tier | low lock-in
weblate | Weblate | Localization / Translation API | freemium | free tier | low lock-in
webmaxy | WebMaxy Analyzer | Session Replay / UX Analytics | subscription | no free tier | medium lock-in
webomates | Webomates | Test Automation / Device Cloud | custom | no free tier | high lock-in
webpack | webpack | CDN / Edge / Acceleration | free | free tier | low lock-in
webpurify | WebPurify | Content Moderation API | usage | no free tier | low lock-in
webpushr | Webpushr | Push / In-app Messaging SDK | freemium | free tier | medium lock-in
webscraping-ai | WebScraping.AI | Developer Portals / API Management | freemium | free tier | low lock-in
webscrapinghq | WebScrapingHQ | Data Integration / ETL / Reverse ETL | subscription | no free tier | low lock-in
websockets | Websockets | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
websolr | Websolr | Search / Recommendations API | freemium, $200 | free tier | low lock-in
wechat-mini-program-platform | WeChat Mini Program Platform | No-code / Low-code App Builders | free | free tier | high lock-in
wedges | Wedges | No-code / Low-code App Builders | free | free tier | low lock-in
wefox | wefox API | Developer Portals / API Management | unknown | no free tier | high lock-in
weglot | Weglot | CRM / Lifecycle Automation | subscription, 15/month | free tier | medium lock-in
weights | Weights | AI API / SDK for Developers | freemium | free tier | medium lock-in
weights-and-biases | Weights and Biases | AI API / SDK for Developers | freemium | free tier | medium lock-in
weights-biases | Weights & Biases | AI API / SDK for Developers | freemium | free tier | medium lock-in
weights-biases-reports | Weights & Biases Reports | AI API / SDK for Developers | freemium | free tier | medium lock-in
weights-biases-sweeps | Weights & Biases Sweeps | AI API / SDK for Developers | freemium | free tier | medium lock-in
weimob | Weimob | No-code / Low-code App Builders | subscription | no free tier | high lock-in
wekan | Wekan | CRM / Lifecycle Automation | free | free tier | low lock-in
weld | Weld | Compliance Automation | subscription, $19 / mo | free tier | medium lock-in
wellsaid-labs | WellSaid Labs | AI API / SDK for Developers | subscription | no free tier | medium lock-in
wemade-wemix | Wemade WEMIX PLAY | Backend-as-a-Service | unknown | no free tier | high lock-in
wemake-python-styleguide | wemake-python-styleguide | Code Assistants / Agent Tooling | free | free tier | low lock-in
wepay-jpmorgan | WePay (JPMorgan) | Payment Gateway / PSP | usage | no free tier | high lock-in
werf | Werf | CI/CD for Applications | free | free tier | low lock-in
weweb | WeWeb | No-code / Low-code App Builders | freemium | free tier | high lock-in
wezterm | WezTerm | CDN / Edge / Acceleration | free | free tier | low lock-in
wgpu | Wgpu | No-code / Low-code App Builders | free | free tier | low lock-in
whaleops | WhaleOps | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
what3words | What3Words | Maps / Geolocation / Routing | subscription, $0.00 | free tier | medium lock-in
whatfix | Whatfix | Product Analytics | subscription, $950 | free tier | high lock-in
whatthediff | WhatTheDiff | Code Assistants / Agent Tooling | freemium | free tier | low lock-in
whereby | Whereby | Real-time / WebSocket Infrastructure | unknown | no free tier | low lock-in
whimsical | Whimsical | No-code / Low-code App Builders | freemium | free tier | medium lock-in
whistic | Whistic | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
whitesource | WhiteSource | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
whizzbridge | Whizzbridge | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
whop | Whop | Payment Gateway / PSP | usage | free tier | high lock-in
whylabs | WhyLabs | Observability / Logging / Tracing | freemium | free tier | medium lock-in
whylogs | whylogs | AI API / SDK for Developers | free | free tier | low lock-in
windmill | Windmill | No-code / Low-code App Builders | freemium | free tier | low lock-in
windmill-dev | Windmill Dev | Backend-as-a-Service | freemium | free tier | low lock-in
windsurf | Windsurf | Code Assistants / Agent Tooling | freemium | free tier | low lock-in
wing | Wing | CDN / Edge / Acceleration | free | free tier | low lock-in
winglang | Winglang | CDN / Edge / Acceleration | free | free tier | low lock-in
winston | Winston | Observability / Logging / Tracing | free | free tier | low lock-in
wireit | wireit | CDN / Edge / Acceleration | free | free tier | low lock-in
wiremock | WireMock | Developer Portals / API Management | free | free tier | low lock-in
wiremock-cloud | WireMock Cloud | Test Automation / Device Cloud | freemium | free tier | low lock-in
wise | Wise | Payment Gateway / PSP | usage | no free tier | medium lock-in
wisenut | Wisenut | Search / Recommendations API | custom | no free tier | high lock-in
wispr-flow | Wispr Flow | AI API / SDK for Developers | freemium | free tier | low lock-in
wistia | Wistia | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
wix | Wix | No-code / Low-code App Builders | freemium | free tier | high lock-in
wix-toolset | WiX Toolset | CI/CD for Applications | free | free tier | low lock-in
wiz | Wiz | Security Scanning / Mobile App Sec | subscription, $18 | free tier | medium lock-in
wizardlm | WizardLM | AI API / SDK for Developers | free | free tier | low lock-in
wolfi-os | Wolfi OS | Security Scanning / Mobile App Sec | free | free tier | low lock-in
wolters-kluwer | Wolters Kluwer | Invoicing / Taxes / Sales Tax | seat | no free tier | high lock-in
wondercraft | Wondercraft | AI API / SDK for Developers | subscription | free tier | medium lock-in
wonderpush | WonderPush | Push / In-app Messaging SDK | freemium | free tier | low lock-in
woodpecker-ci | Woodpecker CI | CI/CD for Applications | free | free tier | low lock-in
woodpecker-ci-cd | Woodpecker CI/CD | CI/CD for Applications | free | free tier | low lock-in
woopra | Woopra | Product Analytics | freemium | free tier | medium lock-in
woosmap | Woosmap | Maps / Geolocation / Routing | subscription, $1 | free tier | medium lock-in
wopee-labs | Wopee Labs | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
wordpress | WordPress | Backend-as-a-Service | freemium | free tier | low lock-in
workato | Workato | No-code / Low-code App Builders | custom | no free tier | high lock-in
workfusion | WorkFusion | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
workmagic | WorkMagic | Mobile Attribution / MMP | subscription | no free tier | medium lock-in
workos | WorkOS | Identity / Auth / User Management | per-connection, $125/connection/mo (SSO) | free tier | low lock-in
worldpay | Worldpay | Payment Gateway / PSP | usage | no free tier | medium lock-in
wowza-streaming-cloud | Wowza Streaming Cloud | Object Storage / Media API | subscription | no free tier | medium lock-in
wps-ai | WPS AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
wretch | wretch | Backend-as-a-Service | free | free tier | low lock-in
writer | Writer | AI API / SDK for Developers | subscription | no free tier | medium lock-in
writerside | Writerside | Developer Portals / API Management | free | free tier | low lock-in
wrtn-technologies | Wrtn Technologies | AI API / SDK for Developers | freemium | free tier | medium lock-in
wso2 | WSO2 | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
wso2-api-manager | WSO2 API Manager | Developer Portals / API Management | freemium | free tier | low lock-in
wunderbase | WunderBase | Developer Portals / API Management | freemium | free tier | medium lock-in
wundergraph | WunderGraph | Developer Portals / API Management | free | free tier | low lock-in
wundergraph-cosmo | WunderGraph Cosmo | Developer Portals / API Management | freemium | free tier | low lock-in
wwise | Wwise | Game Development Tools | freemium | free tier | medium lock-in
wxpython | wxPython | No-code / Low-code App Builders | free | free tier | low lock-in
xagent | XAgent | AI API / SDK for Developers | unknown | no free tier | low lock-in
xai-grok-api | xAI Grok API | AI API / SDK for Developers | usage | no free tier | low lock-in
xano | Xano | Backend-as-a-Service | subscription, $0 | free tier | high lock-in
xapian | Xapian | Search / Recommendations API | free | free tier | low lock-in
xarray | Xarray | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
xata | Xata | DBaaS / Serverless Databases | freemium, $9 per month | free tier | medium lock-in
xcode-cloud | Xcode Cloud | A/B Testing / Experimentation | freemium | free tier | high lock-in
xctest | XCTest | Test Automation / Device Cloud | freemium | free tier | medium lock-in
xendit | Xendit | Payment Gateway / PSP | usage | no free tier | low lock-in
xentral | Xentral | Developer Portals / API Management | subscription | no free tier | high lock-in
xero | Xero | CRM / Lifecycle Automation | subscription | no free tier | medium lock-in
xflow | Xflow | Payment Gateway / PSP | usage | no free tier | medium lock-in
xgboost | XGBoost | AI API / SDK for Developers | free | free tier | low lock-in
xiaomi-push | Xiaomi Push (Mi Push) | Push / In-app Messaging SDK | free | free tier | medium lock-in
xinference | Xinference | AI API / SDK for Developers | free | free tier | low lock-in
xkit | Xkit | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
xlsx-sheetjs | xlsx (SheetJS) | Developer Portals / API Management | freemium | free tier | low lock-in
xlsxwriter | XlsxWriter | Developer Portals / API Management | free | free tier | low lock-in
xmatters | xMatters | Observability / Logging / Tracing | subscription | free tier | medium lock-in
xorbits | Xorbits | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
xpay | xPay | Payment Gateway / PSP | usage | no free tier | low lock-in
xray | Xray | Code Assistants / Agent Tooling | freemium | free tier | high lock-in
xsolla | Xsolla | Payment Gateway / PSP | usage | free tier | medium lock-in
xstate | XState | Backend-as-a-Service | free | free tier | low lock-in
xtm-cloud | XTM Cloud | CRM / Lifecycle Automation | seat | no free tier | high lock-in
xtremepush | Xtremepush | Push / In-app Messaging SDK | custom | no free tier | high lock-in
xunit-net | xUnit.net | Test Automation / Device Cloud | free | free tier | low lock-in
xygeni | Xygeni | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
